status,employer,title,location,distance_km,distance_basis,start_label,duration_label,pay,deadline,summary,action,job_id,url,evidence,verified_on,first_found,last_checked,checked_this_run,change
Verified match,AMD,Summer 2027 Long Term Thermal Mechanical Test Engineer Intern/Co-op,"Markham, ON",,Markham is a nearby priority; exact site/radius not verified,May 2027,16 months (May 2027–August 2028),"CAD 67,000/year",Not stated,"Thermal validation, mechanical/acoustic testing, failure analysis and lab automation. Strong mechanical engineering relevance; Python/Ruby and data-analysis experience are useful.",Review and apply through employer. Check expectations for programming and lab experience; exact workplace and commute should be confirmed.,90980,https://careers.amd.com/careers-home/jobs/90980,Employer live page read in browser on 2026-09-23. Duration: May 2027 to August 2028. Undergraduate co-op context and Mechanical Engineering specified.,2026-09-23,2026-09-23,2026-09-23,True,Unchanged
Verified match,Procter & Gamble,Manufacturing & Engineering Technical Co-Op – May 2027 Start,"Belleville, ON",,Outside preferred 50 km area; Belleville relocation likely,May 2027,12-month option (also offers 4/8),"CAD 5,170/month",Rolling review; no fixed date stated,"Manufacturing projects in process control, systems and quality improvement. Mechanical students who have completed three years are among the preferred applicants.",Apply for the 12-month option. Assess relocation; employer reviews applications on a rolling basis and requires assessments. Work authorization sponsorship is not offered.,R000158888,https://pg.wd5.myworkdayjobs.com/1000/job/Belleville/Manufacturing---Engineering-Technical-Co-Op---May-2027-Start_R000158888,"Employer live Workday page read in browser on 2026-09-23. Placement offers 4, 8 and 12 months from May 2027; select the 12-month option.",2026-09-23,2026-09-23,2026-09-23,True,Unchanged
Needs confirmation,Celestica,"Student Intern, Materials Engineering Lab","Newmarket, ON",,"213 Harry Walker Parkway South, Newmarket; local",May 2027,16 months,CAD 23–30/hour,Not stated,"Local manufacturing/reliability lab work, but the stated degree requirement is Materials Engineering.",Retained under broader engineering scope. Ask whether a Mechanical Engineering student is eligible; listed degrees differ.,1439146033,"https://careers.celestica.com/job/Newmarket-Student-Intern,-Materials-Engineering-Lab-ON/1439146033/",Official posting requires a formal 16-month university placement and Materials Engineering studies. May 2027 start; Newmarket site.,2026-09-23,2026-09-23,2026-09-23,True,Unchanged
Needs confirmation,Celestica,"Student Intern, Test Development","Newmarket, ON",,Exact workplace distance not verified,May 2027,16 months,CAD 23–30/hour,Not stated,"Local automation/testing role, but the listed disciplines are electrical, mechatronics, computer engineering or computer science.",Retained under broader engineering scope. Ask whether a Mechanical Engineering student is eligible; listed degrees differ.,140848,https://careers.celestica.com/job/Newmarket-Student-Intern%2C-Test-Development-ON/1439151233/,Official indexed posting specifies 16 months from May 2027 and lists eligible degrees without Mechanical Engineering.,2026-09-23,2026-09-23,2026-09-23,True,Unchanged
Needs confirmation,Multimatic,Welding Support Co-op,"East Gwillimbury, ON",,Nearby municipality; exact worksite and distance unverified,Not confirmed,Not confirmed,Not stated,Not stated,"Local lead involving weld processes, mechanical systems, equipment troubleshooting and maintenance. Duration and start are absent from the indexed copy.","Check official posting and confirm duration, start date and suitability for a university mechanical student.",JR103258,https://multimatic.wd10.myworkdayjobs.com/en-US/MMEC/job/East-Gwillimbury-Ontario/Welding-Support-Co-op_JR103258,"Discovered through YubHub, which links this employer requisition. Direct employer retrieval failed. No verified 12/16-month or May 2027 evidence.",2026-09-23,2026-09-23,2026-09-23,True,Unchanged
Needs confirmation,Construction Demathieu & Bard,Student Co-op: Junior Project Coordinator – May 2027,Ontario project sites; Peterborough head office,,All Ontario included; exact work site/commute unverified,May 2027,1–4 terms (4–16 months); confirm 12/16 assignment,CAD 17.60–23.90/hour,Not stated,"Construction project coordination, inspections and site measurement. Civil/Construction Engineering students requested; personal vehicle and licence required. Employer says rental accommodation covered.","Confirm Mechanical Engineering eligibility, work site and 12/16-month assignment.",48194,https://cdb.applytojobs.ca/ontario/48194,"Employer job board read 2026-09-23: May 2027, 1–4 terms, Ontario project sites. Posting also mentions a June interview period without a clear year; timing needs confirmation.",2026-09-23,2026-09-23,2026-09-23,True,Newly found
Needs confirmation,EMS-Tech,Civil/Structural Engineering Co-op/Internship,"Belleville, ON (unverified)",,No distance cutoff; Belleville relocation likely,May 2027 (indexed claim),May 2027–May 2028; extension wording inconsistent,,,"Bulk material-handling equipment and conveyor projects; civil/structural engineering lead. Aggregator description also mentions electrical tasks, so scope needs confirmation.","Find the employer posting and confirm term, duties and accepted degree.",,https://www.jobless.dev/jobs/civilstructural-engineering-co-opinterns-at-ems-tech-inc-5691aceb,Search-index excerpt on 2026-09-23 claims May 2027–May 2028. Its extension length conflicts with the displayed end date. Employer posting not verified.,,2026-09-23,2026-09-23,True,Unchanged
Needs confirmation,EMS-Tech,Mechanical Engineering Co-op/Internship,"Belleville, ON (unverified)",,All Ontario included; exact work site/commute unverified,May 2027 (indexed claim),12-month option claimed; extension inconsistent,CAD 23–27/hour (aggregator claim),Not stated,Mechanical equipment design and drawings for bulk handling systems. Third/fourth-year Mechanical Engineering students sought. More promising individual fit than the electrical-only leads.,Verify Belleville opening and 12-month term at https://ems-tech.net/careers/.,Belleville-mechanical-May2027,https://www.jobless.dev/jobs/mechanical-engineering-co-opinternship-at-ems-tech-inc-518b11a2,Two indexed aggregators identify Belleville and May 2027–May 2028. A separate Burnaby vacancy exists: confirm the exact location and term through the employer careers page. Extension wording conflicts.,,2026-09-23,2026-09-23,True,Newly found
Needs confirmation,Geotab,"Mechanical Engineering Intern (Summer/May 2027, 16 Months)","Oakville, ON",,Outside preferred 50 km area; exact workplace not verified,May 2027 (indexed copy),16 months,CAD 28–36/hour (indexed copy),Not stated,"Excellent subject match: SolidWorks drawings, harnesses, prototypes, jig tooling and tolerance analysis. Current availability needs checking.",Verify availability through Geotab careers. Do not rely on aggregator suggested application dates.,5371916008,https://job-boards.greenhouse.io/internshiplist2000/jobs/5371916008,Indexed Greenhouse and aggregator text describe May 2027 for 16 months. Opening the linked job redirects to the internship board with error=true; the current list did not show this role.,2026-09-23,2026-09-23,2026-09-23,True,Unchanged
Needs confirmation,Hatch,"Mechanical Engineering Student, Technologies","Mississauga, ON",,Outside/near radius boundary depending on workplace; exact distance unverified,Spring 2027; month unconfirmed,16 months,Posted range 25–33; pay period not stated,Not stated,"Mechanical design, finite element and thermal analysis, hydraulics and cooling systems. Explicitly seeks third- or fourth-year mechanical students.",Confirm a May 2027-or-later start before treating this as a match. Transcript required.,101580,"https://jobs.hatch.com/job/Mississauga-Mechanical-Engineering-Student,-Technologies-ON/1427991600/",Official posting specifies Spring 2027 and a 16-month placement. It does not give an exact start month. Aggregator Winter 2027 wording conflicts; employer wording takes precedence.,2026-09-23,2026-09-23,2026-09-23,True,Unchanged
